Input,Target Gloss,Predicted Gloss
financing of actions other than official development assistance in countries falling under regulation ec 1905 / 2006,FINANCING ACTION DESC-OR THAN OFFICIAL DEVELOPMENT ASSISTANCE IN COUNTRY FALL UNDER REGULATION EC 1905 2006,FINANCING ACTION DESC-OR THAN DESC-OFFICIAL DEVELOPMENT ASSISTANCE IN COUNTRY FALL UNDER REGULATION EC 1905 2006
"socio economic conditions are difficult for most of the population , especially in areas inhabited by ethnic groups .",SOCIO DESC-ECONOMIC CONDITION BE DESC-DIFFICULT FOR MOST POPULATION DESC-ESPECIALLY IN AREA INHABIT BY DESC-ETHNIC GROUP,SOCIO DESC-ECONOMIC CONDITION BE DESC-DIFFICULT FOR MOST POPULATION DESC-ESPECIALLY IN AREA LOCAT BY DESC-ETHNIC GROUP
the presentation is closed .,PRESENTATION BE DESC-CLOSE,DESC-PRESENTATION BE DESC-CLOSE
the answer is most certainlyno.,ANSWER BE MOST CERTAINLYNO,ANSWER BE MOST DESC-CERTAINLYNO
the internal situation in eritrea is partly determined by the impasse in the border conflict with ethiopia .,DESC-INTERNAL SITUATION IN ERITREA BE DESC-PARTLY DETERMINE BY IMPASSE IN BORDER CONFLICT WITH ETHIOPIUM,DESC-INTERNAL SITUATION IN ERITREA BE DESC-PARTLY DETERMINE BY IMPASTE IN BORDER CONFLICT WITH ETHIOPIUM
we must support this report unreservedly .,X-WE MUST SUPPORT THIS REPORT DESC-UNRESERVEDLY,X-WE MUST SUPPORT THIS REPORT DESC-UNRESSERVEDLY
"this said , the report also clearly charts the work that still needs to be done .",THIS SAY REPORT DESC-ALSO DESC-CLEARLY CHART WORK THAT DESC-STILL NEED TO BE DO,THIS SAY REPORT DESC-ALSO DESC-CLEARLY CART WORK THAT DESC-STILL NEED TO BE DO
anyone found guilty cannot be locked up in sierra leone for any decent length of time .,ANYONE FIND DESC-GUILTY CAN DESC-NOT BE LOCK DESC-UP IN SIERRA LEONE FOR ANY DESC-DECENT LENGTH TIME,ANYONE FIND DESC-CLOSED DESC-UP IN SIERRA LEONE FOR ANY DESC-DECENT LENGTH TIME
"de mr president , i support the motion which mr prodi has tabled today .",DE MR PRESIDENT X-I SUPPORT MOTION WHICH MR PROD X-I HAVE TABLE TODAY,DE MR PRESIDENT X-I SUPPORT MOTION WHICH MR PRODUS HAVE TABLE TODAY
it gives women in particular completely new opportunities in the area of self employment in small and medium sized enterprises .,X-IT GIVE WOMAN IN DESC-PARTICULAR DESC-COMPLETELY DESC-NEW OPPORTUNITY IN AREA SELF EMPLOYMENT IN DESC-SMALL AND MEDIUM SIZE ENTERPRISE,X-IT GIVE WOMAN IN DESC-PARTICULARLY DESC-NEW OPPORTUNITY IN AREA SELF EMPLOYMENT IN DESC-SMALL AND MEDIUM SIZE ENTERPRISE
"so that is the ultimate resort , should this legislation fail .",DESC-SO THAT BE DESC-ULTIMATE RESORT SHOULD THIS LEGISLATION FAIL,DESC-SO THAT BE DESC-ULTIMATE RESERVE SHOULD THIS LEGISLATION FAIL
"to us italians , that is reminiscent of the notorious italian cassa del mezzogiorno .",TO X-WE ITALIAN THAT BE REMINISCENT DESC-NOTORIOUS ITALIAN CASSA DEL MEZZOGIORNO,TO X-WE ITALY THAT BE REMINDER DESC-NOBLY DESC-ITALY CASSA DEL MEZZOGIORNO
"it was zeus who kidnapped europa , and my fear is that you are kidnapping our democracy .",X-IT BE ZEUS WHO KIDNAP EUROPA AND X-MY FEAR BE THAT X-YOU BE KIDNAPPING X-WE DEMOCRACY,X-IT BE ZEUS WHO KINAPP EUROPE AND X-MY FEAR BE THAT X-YOU BE KINAPP X-WE DEMOCRACY
"strangely enough , we are now seeing more and more examples of member states wanting to pay .",DESC-STRANGELY DESC-ENOUGH X-WE BE DESC-NOW SEE MORE AND MORE EXAMPLE MEMBER STATE WANT TO PAY,DESC-STRAIGHTLY DESC-ENOUGH X-WE BE DESC-NOW SEE MORE AND MORE EXAMPLE MEMBER STATE WANT TO PAY
"these are ways in which belarus can profit from the new policy , after many years of isolation .",SE BE WAY IN WHICH BELARUS CAN PROFIT FROM DESC-NEW POLICY AFTER DESC-MANY YEAR ISOLATION,SE BE WAY IN WHICH BELARUS CAN PROFIT FROM DESC-NEW POLICY AFTER DESC-MANY YEAR ISILATION
"hgvs are frequently subject to time constraints and external timetables , like those of ferry operators .",HGV BE DESC-FREQUENTLY SUBJECT TO TIME CONSTRAINT AND DESC-EXTERNAL TIMETABLE LIKE THOSE FERRY OPERATOR,HGV BE DESC-FREQUENTLY SUBJECT TO TIME CONCRUITIONS AND DESC-EXTERNAL TIMETABLE LIKE THOSE FISHEROPER
is it the commission's intention to repeal the uk opt out in this area too ?,BE X-IT COMMISSION X-POSS INTENTION TO REPEAL UK OPT OUT IN THIS AREA DESC-TOO,BE X-IT COMMISSION X-POSS INTENTION TO REPEAT UK OPT OUT IN THIS AREA DESC-TOO
i think that the results of such a trial will be very informative for other regions .,X-I THINK THAT RESULT DESC-SUCH TRIAL WILL BE DESC-VERY DESC-INFORMATIVE FOR DESC-OR REGION,X-I THINK THAT RESULT DESC-SUCH TRIAL WILL BE DESC-VERY DESC-INFORMANT FOR DESC-OR REGION
i would like to again congratulate and thank dr mikolášik and mr perello rodriguez for their contribution .,IK AND MR PERELLO RODRIGUEZ FOR X-Y CONTRIBUTION MIKOL,IK AND MR PERELLO RODRIGUEZ FOR X-Y CONTRIBUTION
the heated debate preceding this directive is astonishing .,DESC-HEATED DEBATE PRECEDE THIS DIRECTIVE BE DESC-ASTONISHING,DESC-HEATED DEBATE PRECEDE THIS DIRECTIVE BE DESC-AWESOME
this parliament shall be committed to guarding the citizensinterests in the laws we adopt .,THIS PARLIAMENT SHALL BE COMMIT TO GUARD CITIZENSINTEREST IN LAW X-WE ADOPT,THIS PARLIAMENT SHALL BE COMMIT TO GUARD CITIZENSINTERESTS IN LAW X-WE ADOPT
the premature closure of plants would represent a cost that the resultant environmental benefit would not cover .,DESC-PREMATURE CLOSURE PLANT WOULD REPRESENT COST THAT RESULTANT DESC-ENVIRONMENTAL BENEFIT WOULD DESC-NOT COVER,DESC-PREVIOUS CLOSURE PLANT WOULD REPRESENT COST THAT RESULTANT DESC-ENVIRONMENTAL BENEFIT WOULD DESC-NOT COVER
"human rights defenders in tunisia are being scorned , arrested and humiliated .",DESC-HUMAN RIGHTS DEFENDER IN TUNISIUM BE BE SCORN ARREST AND HUMILIATE,DESC-HUMAN RIGHTS DEFENDER IN TUNISIUM BE BE SCORN ARREST AND HUMBLE
the british people are very astute and they are clear that politicians have hijacked the environmentalist agenda .,BRITISH PEOPLE BE DESC-VERY DESC-ASTUTE AND X-Y BE DESC-CLEAR THAT POLITICIAN HAVE HIJACK ENVIRONMENTALIST AGENDA,BRITISH PEOPLE BE DESC-VERY DESC-ASTUTE AND X-Y BE DESC-CLEAR THAT POLITICIAN HAVE HACKLE DESC-ENVIRONMENTALIST AGENDA
"thanks to the crisis , the number of insecure jobs and compulsory part time positions are increasing .",THANKS TO CRISIS NUMBER INSECURE JOB AND COMPULSORY PART TIME POSITION BE INCREASE,THANKS TO CRISIS NUMBER DESC-INSECURE JOB AND DESC-COMMISSIONARY PART TIME POSITION BE INCREASE
"these include family farmers , smallholders , small business owners and government employees .",SE INCLUDE FAMILY FARMER SMALLHOLDER DESC-SMALL BUSINESS OWNER AND GOVERNMENT EMPLOYEE,SE INCLUDE FAMILY FARMER DESC-SMALLHOLDER DESC-SMALL BUSINESS OWNER AND GOVERNMENT EMPLOYEE
"i ask you , as the most knowledgeable , to say a few words on this matter .",X-I ASK X-YOU AS MOST DESC-KNOWLEDGEABLE TO SAY DESC-FEW WORD ON THIS MATTER,X-I ASK X-YOU AS MOST DESC-INFORMED TO SAY DESC-FEW WORD ON THIS MATTER
an unprecedented number of inquiries was completed in 200most of these cases concerned the european commission and far fewer concerned the administration of the european parliament .,DESC-UNPRECEDENTED NUMBER INQUIRY BE DESC-COMPLETE IN 200MOST SE CASE CONCERN EUROPEAN COMMISSION AND DESC-FAR DESC-FEWER DESC-CONCERNED ADMINISTRATION EUROPEAN PARLIAMENT,DESC-UNPRECEDENTED NUMBER INQUIRY BE DESC-COMPLETE IN DESC-200MOST SE CASE CONCERN EUROPEAN COMMISSION AND DESC-FAR DESC-FEWER CONCERN ADMINISTRATION EUROPEAN PARLIAMENT
"the rampant , widespread corruption and the smuggling of weapons and drugs sow unrest in the region .",DESC-RAMPANT DESC-WIDESPREAD CORRUPTION AND SMUGGLING WEAPON AND DRUG SOW UNREST IN REGION,RAPPORTANT DESC-WIDESPREAD CORRUPTION AND SMUGGLE WEAPON AND DRUG SOW UNREST IN REGION
"in october , we decided to suspend the entry ban for president lukashenko .",IN OCTOBER X-WE DECIDE TO SUSPEND ENTRY BAN FOR PRESIDENT LUKASHENKO,IN OCTOBER X-WE DECIDE TO SUSPEND ENTRY BAN FOR PRESIDENT LUKASHKO
"in this respect , we also insist on the need to preserve linguistic diversity in europe .",IN THIS RESPECT X-WE DESC-ALSO INSIST ON NEED TO PRESERVE LINGUISTIC DIVERSITY IN EUROPE,IN THIS RESPECT X-WE DESC-ALSO INSIST ON NEED TO PRESERVE DESC-LINGUISTIC DIVERSITY IN EUROPE
it is also a strange way of protecting community agriculture .,X-IT BE DESC-ALSO DESC-STRANGE WAY PROTECT COMMUNITY AGRICULTURE,X-IT BE DESC-ALSO DESC-SORRY WAY PROTECT COMMUNITY AGRICULTURE
"to deny that it happens , frankly , is an insult to our intelligence .",TO DENY THAT X-IT HAPPEN DESC-FRANKLY BE INSULT TO X-WE INTELLIGENCE,TO DENY THAT X-IT HAPPEN DESC-FRANKLY BE INJURY TO X-WE INTELLIGENCE
concerns in relation to data protection law are simply brushed aside in the fight against purported terror .,CONCERN IN RELATION TO DATUM PROTECTION LAW BE DESC-SIMPLY BRUSH DESC-ASIDE IN FIGHT AGAINST DESC-PURPORTED TERROR,CONCERN IN RELATION TO DATUM PROTECTION LAW BE DESC-SIMPLY BRUSH DESC-AWAY IN FIGHT AGAINST DESC-PURPOSE TERRORISM
"mr president , ladies and gentlemen , we voted against mrs thun und hohenstein's report .",MR PRESIDENT LADY AND GENTLEMAN X-WE VOTE AGAINST MR THUN UND HOHENSTEIN X-POSS REPORT,MR PRESIDENT LADY AND GENTLEMAN X-WE VOTE AGAINST MR THUN und HHNSTEIN X-POSS REPORT
"i am sorry , according to my staff , no one saw you .",X-I BE DESC-SORRY ACCORD TO X-MY STAFF NO ONE SAW X-YOU,X-I BE DESC-SORRY ACCORD TO X-MY STAFF NO ONE SEE X-YOU
"ro i , too , support what mr posselt said earlier .",RO I DESC-TOO SUPPORT WHAT MR POSSELT SAY DESC-EARLIER,RO X-I DESC-TOO SUPPORT WHAT MR POSELT SAY DESC-EARLIER
the phenomenon represents a flagrant violation of human dignity .,PHENOMENON REPRESENT DESC-FLAGRANT VIOLATION DESC-HUMAN DIGNITY,PHENOMENON REPRESENT DESC-FLAGANT VIOLATION DESC-HUMAN DIGNITY
i would like to thank mr šefčovič and the swedish presidency for the excellent work we have accomplished together .,AND SWEDISH PRESIDENCY FOR DESC-EXCELLENT WORK X-WE HAVE ACCOMPLISH DESC-TOGER,OV AND SWEDISH PRESIDENCY FOR DESC-EXCELLENT WORK X-WE HAVE ACCOMPLISH DESC-TOGER
"many members raised the question of the reprogramming of the structural funds , and dg regio is discussing this .",DESC-MANY MEMBER RAISE QUESTION REPROGRAM DESC-STRUCTURAL FUND AND DG REGIO BE DISCUSS THIS,DESC-MANY MEMBER RAISE QUESTION REPROGRAM STRUCTURAL FUND AND DG REGI BE DISCUSS THIS
"as there are very sovereign concepts of what democracy means , it would be better to add something .",AS DESC-RE BE DESC-VERY DESC-SOVEREIGN CONCEPT WHAT DEMOCRACY MEAN X-IT WOULD BE DESC-BETTER TO ADD SOMETHING,AS DESC-RE BE DESC-VERY DESC-SOVEREIGNTY CONCEPT WHAT DEMOCRACY MEAN X-IT WOULD BE DESC-BETTER TO ADD SOMETHING
all budgets are supposed to be mirror images of some economic policy considerations .,ALL BUDGET BE SUPPOSE TO BE MIRROR IMAGE SOME DESC-ECONOMIC POLICY CONSIDERATION,ALL BUDGET BE SUPPOSE TO BE MIRROR IMAGES SOME DESC-ECONOMIC POLICY CONSIDERATION
that implicitly constitutes recognition and violates international law and serbia's sovereignty over this territory .,THAT DESC-IMPLICITLY CONSTITUTE RECOGNITION AND VIOLATE DESC-INTERNATIONAL LAW AND SERBIUM X-POSS SOVEREIGNTY OVER THIS TERRITORY,THAT DESC-IMPLICITELY CONSTITUTE RECOGNITION AND VIOLATE DESC-INTERNATIONAL LAW AND SERBIUM X-POSS SOVEREIGNTY OVER THIS TERRITORY
the fact is that the union requires a larger budget and a budgetary policy crafted to promote economic recovery .,FACT BE THAT UNION REQUIRE DESC-LARGER BUDGET AND DESC-BUDGETARY POLICY CRAFT TO PROMOTE DESC-ECONOMIC RECOVERY,FACT BE THAT UNION REQUIRE DESC-LARGER BUDGET AND DESC-BUDGETARY POLICY MANUFACTURE TO PROMOTE DESC-ECONOMIC RECOVERY
i will allow myself one joke today .,X-I WILL ALLOW X-MYSELF ONE JOKE TODAY,X-I WILL ALLOW X-MYSELF ONE JOCKE TODAY
we hear from the component manufacturers that the car assemblers are too low in their ambitions .,X-WE HEAR FROM COMPONENT MANUFACTURER THAT CAR ASSEMBLER BE DESC-TOO DESC-LOW IN X-Y AMBITION,X-WE HEAR FROM COMPONENT MANUFACTURER THAT CAR ASSEMBLYER BE DESC-TOO DESC-LOW IN X-Y AMBITION
my sixth comment relates to the position of business associations .,X-MY DESC-SIXTH COMMENT RELATE TO POSITION BUSINESS ASSOCIATION,X-MY DESC-SECOND COMMENT RELATE TO POSITION BUSINESS ASSOCIATION
"pt madam president , prime minister fischer declared that the czech presidency was very successful .",PT MADAM PRESIDENT DESC-PRIME MINISTER FISCHER DECLARE THAT CZECH PRESIDENCY BE DESC-VERY DESC-SUCCESSFUL,PT MADAM PRESIDENT DESC-PRIME MINISTER FUSSCHER DECLARE THAT CZECH PRESIDENCY BE DESC-VERY DESC-SUCCESSFUL
we now estimate that counterfeit goods to the value of around eur 250 billion are flooding our market .,X-WE DESC-NOW ESTIMATE THAT COUNTERFEIT GOODS TO VALUE AROUND EUR 250 BILLION BE FLOOD X-WE MARKET,X-WE DESC-NOW ESTIMATE THAT CURRENCY GOODS TO VALUE AROUND EUR 250 BILLION BE FLOOD X-WE MARKET
the ball is now in the governmentscourt .,BALL BE DESC-NOW IN GOVERNMENTSCOURT,BALL BE DESC-NOW IN GOVERNMENTCOURT
report isler béguin,REPORT ISLER BÀ?GUIN,REPORT ISLER BÉGUIN
conditions of entry and residence of third country nationals for the purposes of highly qualified employment,CONDITION ENTRY AND RESIDENCE DESC-THIRD COUNTRY DESC-NATIONAL FOR PURPOSE DESC-HIGHLY QUALIFY EMPLOYMENT,CONDITION ENTRY AND RESIDENCE DESC-THIRD COUNTRY DESC-NATIONAL FOR PURPOSE DESC-HIGHLY QUALIFIED EMPLOYMENT
this would take away from their reliance on benefits .,THIS WOULD TAKE DESC-AWAY FROM X-Y RELIANCE ON BENEFIT,THIS WOULD TAKE DESC-AWAY FROM X-Y RELY ON BENEFIT
"just as the market grows , so too do the general revenues from gambling in the world .",DESC-JUST AS MARKET GROW DESC-SO DESC-TOO DO DESC-GENERAL REVENUE FROM GAMBLE IN WORLD,DESC-JUST AS MARKET GROW DESC-SO DESC-TOO DO DESC-GENERAL REVENUE FROM GAMBLING IN WORLD
"after detroit , to give you an example , the spotlight is on body scanners as the best solution .",AFTER DETROIT TO GIVE X-YOU EXAMPLE SPOTLIGHT BE ON BODY SCANNER AS DESC-BEST SOLUTION,AFTER DETROIT TO GIVE X-YOU EXAMPLE SPHERE BE ON BODY SCANNER AS DESC-BEST SOLUTION
mohammad othman was arrested on 22 september by the israeli authorities .,MOHAMMAD OTHMAN BE ARREST ON 22 SEPTEMBER BY ISRAELI AUTHORITY,MOHAMMED OTHMAN BE ARREST ON 22 SEPTEMBER BY ISRAELI AUTHORITY
i am afraid to say that the lisbon treaty is a pale shadow of our magna carta .,X-I BE DESC-AFRAID TO SAY THAT LISBON TREATY BE PALE SHADOW X-WE MAGNA CARTA,X-I BE DESC-AFRAID TO SAY THAT LISBON TREATY BE DESC-PALE SHADOW X-WE MANA CARTA
obviously the courtrooms will still need to be fitted with videoconferencing equipment .,DESC-OBVIOUSLY COURTROOM WILL DESC-STILL NEED TO BE FIT WITH VIDEOCONFERENCING EQUIPMENT,DESC-OBVIOUSLY COURTROOM WILL DESC-STILL NEED TO BE FIT WITH VIDEOCONFERENCE EQUIPMENT
"we cannot create a precedent , the voting cannot be repeated .",X-WE CAN DESC-NOT CREATE PRECEDENT VOTING CAN DESC-NOT BE REPEAT,X-WE CAN DESC-NOT CREATE PRECEDENCY VOTING CAN DESC-NOT BE REPEAT
european efforts to counter the crisis must be coordinated and balanced .,EUROPEAN EFFORT TO DESC-COUNTER CRISIS MUST BE COORDINATE AND BALANCE,EUROPEAN EFFORT TO COUNTER CRISIS MUST BE COORDINATE AND DESC-BALANCED
maritime labour convention,MARITIME LABOR CONVENTION,DESC-MARINE LABOR CONVENTION
it is horrifying how common this terrible phenomenon is .,X-IT BE DESC-HORRIFYING HOW DESC-COMMON THIS DESC-TERRIBLE PHENOMENON BE,X-IT BE HORRIFY HOW DESC-COMMON THIS DESC-TERRIBLE PHENOMENON BE
"the losers in this situation would primarily be passengers , something which must not happen .",LOSER IN THIS SITUATION WOULD DESC-PRIMARILY BE PASSENGER SOMETHING WHICH MUST DESC-NOT HAPPEN,LASER IN THIS SITUATION WOULD DESC-PRIMARILY BE PASSENGER SOMETHING WHICH MUST DESC-NOT HAPPEN
"pl mr president , a camouflaged form of human trafficking is flourishing in poland .",PL MR PRESIDENT CAMOUFLAGE FORM DESC-HUMAN TRAFFICKING BE FLOURISH IN POLAND,PL MR PRESIDENT CAMOUFLAGE FORM DESC-HUMAN TRAFFICKING BE FLOWER IN POLAND
a new social policy has not been fully worked into the macro economics of the european union .,DESC-NEW DESC-SOCIAL POLICY HAVE DESC-NOT BE DESC-FULLY WORK INTO MACRO ECONOMICS EUROPEAN UNION,DESC-NEW DESC-SOCIAL POLICY HAVE DESC-NOT BE DESC-FULLY WORK INTO MACRO DESC-ECONOMIC UNION
the eu's trade in goods with india has more than doubled in value between 2000 and 200i want to stress that the fta must help,EU X-POSS TRADE IN GOODS WITH INDIUM HAVE MORE THAN DESC-DOUBLE IN VALUE BETWEEN 2000 AND 200US WANT TO STRESS THAT FTA MUST HELP,EU X-POSS TRADE IN GOODS WITH INDIA HAVE MORE THAN DESC-DOUBLE IN VALUE BETWEEN 2000 AND 200US WANT TO STRESS THAT FTA MUST HELP
"however , you can see from the reaction of the ppe de group that there was a mood of excitement .",DESC-HOWEVER X-YOU CAN SEE FROM REACTION PPE DE GROUP THAT DESC-RE BE MOOD EXCITEMENT,DESC-HOWEVER X-YOU CAN SEE FROM REACTION PPE DE GROUP THAT DESC-RE BE MOMENT EXCITION
"however , when i look at individual papers that have leaked out i unfortunately have my doubts about this .",DESC-HOWEVER WHEN X-I LOOK AT INDIVIDUAL PAPERS THAT HAVE LEAK OUT X-I DESC-UNFORTUNATELY HAVE X-MY DOUBT ABOUT THIS,DESC-HOWEVER WHEN X-I LOOK AT INDIVIDUAL PAPER THAT HAVE LEAK OUT X-I DESC-UNFORTUNATELY HAVE X-MY DOUBT ABOUT THIS
the original tobin tax idea of using a financial transaction tax for development aid has also strongly resurfaced .,DESC-ORIGINAL TOBIN TAX IDEA USE DESC-FINANCIAL TRANSACTION TAX FOR DEVELOPMENT AID HAVE DESC-ALSO DESC-STRONGLY RESURFACE,DESC-ORIGINAL TOBIN TAX IDEA USE DESC-FINANCIAL TRANSACTION TAX FOR DEVELOPMENT AID HAVE DESC-ALSO DESC-STRONGLY RESUITE
it is not possible to solve the problem of the financial crisis with ideology .,X-IT BE DESC-NOT DESC-POSSIBLE TO SOLVE PROBLEM DESC-FINANCIAL CRISIS WITH IDEOLOGY,X-IT BE DESC-NOT DESC-POSSIBLE TO SOLVE PROBLEM DESC-FINANCIAL CRISIS WITH IDICATION
the political discussion about whether babiesand small children's fingerprints are really needed is not yet over .,DESC-POLITICAL DISCUSSION ABOUT WHER BABIESAND DESC-SMALL CHILD X-POSS FINGERPRINT BE DESC-REALLY NEED BE DESC-NOT DESC-YET OVER,DESC-POLITICAL DISCUSSION ABOUT WHER BABYAND DESC-SMALL CHILD X-POSS PHOTOGRAPHY BE DESC-REALLY NEED BE DESC-NOT DESC-YET OVER
we try to insert a human rights clause in every framework agreement which we conclude with a third country .,X-WE TRY TO INSERT DESC-HUMAN RIGHTS CLAUSE IN EVERY FRAMEWORK AGREEMENT WHICH X-WE CONCLUDE WITH DESC-THIRD COUNTRY,X-WE TRY TO INSTALL DESC-HUMAN RIGHTS CLAUSE IN EVERY FRAMEWORK AGREEMENT WHICH X-WE CONCLUDE WITH DESC-THIRD COUNTRY
"then you had the aftershock of 6.6 , which in itself was absolutely devastating .",DESC-N X-YOU HAVE AFTERSHOCK 6.6 WHICH IN X-ITSELF BE DESC-ABSOLUTELY DEVASTATE,DESC-N X-YOU HAVE AFTERSHOCK 6.6 WHICH IN X-ITSELF BE DESC-ABSOLUTELY DESC-DESTROYING
attacks and beatings of journalists multiplied .,ATTACK AND BEAT JOURNALIST MULTIPLY,ATTACK AND BEAT JOURNALIST MULTIPULATE
it was a very informative event entitledprescription for a healthy planet.,X-IT BE DESC-VERY DESC-INFORMATIVE EVENT ENTITLEDPRESCRIPTION FOR DESC-HEALTHY PLANET,X-IT BE DESC-VERY DESC-INFORMATIVE EVENT INDIVIDUALPRESCRIPTION FOR DESC-HEALTHY PLANET
"as mrs ferrero waldner repeatedly says , positive cooperation is required .",AS MR FERRERO WALDNER DESC-REPEATEDLY SAY DESC-POSITIVE COOPERATION BE REQUIRE,AS MR FERRERO WALDENNER DESC-REPEATEDLY SAY DESC-POSITIVE COOPERATION BE REQUIRE
these are the people who care for dependant older people and those with disabilities .,SE BE PEOPLE WHO CARE FOR DEPENDANT DESC-OLDER PEOPLE AND THOSE WITH DISABILITY,SE BE PEOPLE WHO CARE FOR DESC-DEPENDENT DESC-OLDER PEOPLE AND THOSE WITH DISABILITY
the phrasejust a housewifeneeds to be outlawed .,PHRASEJUST HOUSEWIFENEED TO BE OUTLAW,PHASEJUST HOUSEWIVEN NEED TO BE OUTLAW
"member of the commission . madam president , it was a fascinating debate .",MADAM PRESIDENT X-IT BE DESC-FASCINATING DEBATE,MADAM PRESIDENT X-IT BE DESC-FABULOUS DEBATE
"but , as tuberculosis is not constrained by borders , we have to support countries beyond the european union .",BUT AS TUBERCULOSIS BE DESC-NOT CONSTRAIN BY BORDER X-WE HAVE TO SUPPORT COUNTRY BEYOND EUROPEAN UNION,BUT AS TUBERCULOSIS BE DESC-NOT CONTRAGENT BORDER X-WE HAVE TO SUPPORT COUNTRY BEYOND EUROPEAN UNION
"the ngos can submit projects to it without the support of their government , and that is important .",NGO CAN SUBMIT PROJECT TO X-IT WITHOUT SUPPORT X-Y GOVERNMENT AND THAT BE DESC-IMPORTANT,NGOS CAN SUBMIT PROJECT TO X-IT WITHOUT SUPPORT X-Y GOVERNMENT AND THAT BE DESC-IMPORTANT
"he is the regulator of transport , supposed to protect consumers and workers .",X-HE BE REGULATOR TRANSPORT SUPPOSE TO PROTECT CONSUMER AND WORKER,X-HE BE REGULATOR TRANSPORT SEEM TO PROTECT CONSUMER AND WORKER
this may be related to policies that i was recently involved in in belgium .,THIS MAY BE RELATE TO POLICY THAT X-I BE DESC-RECENTLY INVOLVE IN IN BELGIUM,THIS MAY BE RELATE TO POLICY THAT X-I BE DESC-RECENTLY INVOLVE IN IN BELGUM
the catalogue of problems is so extensive that it is puzzling that the negotiations are still carrying on .,CATALOGUE PROBLEM BE DESC-SO DESC-EXTENSIVE THAT X-IT BE DESC-PUZZLING THAT NEGOTIATION BE DESC-STILL CARRY ON,CATALOGUE PROBLEM BE DESC-SO DESC-EXTENSIVE THAT X-IT BE PUZZLE THAT NEGOTIATION BE DESC-STILL CARRY ON
i think that is enough to get us all working together to prevent such tragic incidents from reoccurring .,X-I THINK THAT BE DESC-ENOUGH TO GET X-WE ALL WORK DESC-TOGER TO PREVENT DESC-SUCH DESC-TRAGIC INCIDENT FROM REOCCUR,X-I THINK THAT BE DESC-ENOUGH TO GET X-WE ALL WORK DESC-TOGER TO PREVENT DESC-SUCH DESC-TRAGIC INCIDENT FROM REOCCURR
"in the south of france , 75 % of the forest is privately owned .",IN DESC-SOUTH FRANCE 75 % FOREST BE DESC-PRIVATELY DESC-OWN,IN DESC-SOUTH FRANCE 75 % FOREST BE DESC-PRIVATELY OWN
thedelegated actsadopted accordingly by the commission are non legislative acts of general application .,DELEGATE ACTSADOPTED DESC-ACCORDINGLY BY COMMISSION BE NON DESC-LEGISLATIVE ACT DESC-GENERAL APPLICATION,DELEGATE ACTSADOPT DESC-ACCORDINGLY BY COMMISSION BE NON DESC-LEGISLATIVE ACT DESC-GENERAL APPLICATION
"mr president , when we began this work we were aware that we were walking on thin ice .",MR PRESIDENT WHEN X-WE BEGIN THIS WORK X-WE BE DESC-AWARE THAT X-WE BE WALK ON DESC-THIN ICE,MR PRESIDENT WHEN X-WE BEGIN THIS WORK X-WE BE DESC-AWARE THAT X-WE BE WALKING ON DESC-THIN ICE
is it right to keep troops in kosovo ?,BE X-IT DESC-RIGHT TO KEEP TROOPS IN KOSOVO,BE X-IT DESC-RIGHT TO KEEP TRUCK IN KOSOVO
the commission should make a clear distinction between large scale commercial aircraft operations and privately owned airplanes .,COMMISSION SHOULD MAKE DESC-CLEAR DISTINCTION BETWEEN DESC-LARGE SCALE DESC-COMMERCIAL AIRCRAFT OPERATION AND DESC-PRIVATELY DESC-OWN AIRPLANE,COMMISSION SHOULD MAKE DESC-CLEAR DISTINCTION BETWEEN DESC-LARGE SCALE DESC-COMMERCIAL AIRCRAFT OPERATION AND DESC-PRIVATELY DESC-OWN AIRCRAFT
it is somewhat too eurocentric and somewhat too compartmentalised as well .,X-IT BE DESC-SOMEWHAT DESC-TOO DESC-EUROCENTRIC AND DESC-SOMEWHAT DESC-TOO DESC-COMPARTMENTALISED AS DESC-WELL,X-IT BE DESC-SOMEWHAT DESC-TOO EUROCENTRIC AND DESC-SOMEWHAT DESC-TOO COMPOSITIONALISE AS DESC-WELL
international trade in endangered species of wild fauna and flora cites vote,DESC-INTERNATIONAL TRADE IN ENDANGER SPECIES DESC-WILD FAUNA AND FLORA CITE VOTE,DESC-INTERNATIONAL TRADE IN ENDANGER SPECIES DESC-WILD FAUNE AND FLORA CITE VOTE
we need to identify the risk of gambling addictions developing in young people .,X-WE NEED TO IDENTIFY RISK GAMBLE ADDICTION DEVELOP IN DESC-YOUNG PEOPLE,X-WE NEED TO IDENTIFY RISK GAMBLING ADDICTION DEVELOP IN DESC-YOUNG PEOPLE
that is why we in the netherlands know the act as thehague invasion act.,THAT BE WHY X-WE IN NERLAND KNOW ACT AS HAGUE INVASION ACT,THAT BE WHY X-WE IN NERLAND KNOW ACT AS HAGUE INVOLVEMENT ACT
it will allow stocks of bluefin tuna to recover and trade to resume .,X-IT WILL ALLOW STOCK BLUEFIN TUNA TO RECOVER AND TRADE TO RESUME,X-IT WILL ALLOW STOCK BLUEFIN TUNA TO RECOVERY AND TRADE TO RESUME
protection of workers against asbestos codified version,PROTECTION WORKER AGAINST ASBESTOS CODIFY VERSION,PROTECTION WORKER AGAINST ASSOCIATE CODIFY VERSION
